iter	Passed	Remaining
402	12933	19159
403	12964	19126
404	12999	19098
405	13030	19063
406	13061	19030
407	13093	18998
408	13125	18966
409	13160	18938
410	13190	18903
411	13224	18874
412	13281	18876
413	13315	18847
414	13357	18829
415	13390	18798
416	13423	18767
417	13457	18737
418	13491	18707
419	13525	18677
420	13561	18650
421	13595	18621
422	13630	18592
423	13663	18562
424	13700	18535
425	13734	18505
426	13769	18477
427	13803	18447
428	13838	18419
429	13872	18389
430	13906	18359
431	13941	18330
432	13974	18299
433	14010	18271
434	14050	18250
435	14083	18217
436	14116	18186
437	14150	18157
438	14182	18124
439	14212	18089
440	14245	18057
441	14276	18023
442	14308	17990
443	14346	17965
444	14379	17934
445	14412	17903
446	14445	17870
447	14477	17838
448	14509	17805
449	14571	17810
450	14623	17800
451	14675	17791
452	14712	17764
453	14748	17736
454	14780	17704
455	14814	17673
456	14848	17642
457	14881	17610
458	14915	17579
459	14949	17549
460	14981	17516
461	15014	17484
462	15048	17453
463	15083	17423
464	15119	17395
465	15155	17367
466	15192	17340
467	15228	17311
468	15265	17283
469	15302	17256
470	15341	17230
471	15380	17204
472	15419	17179
473	15454	17149
474	15495	17126
475	15541	17108
476	15577	17080
477	15614	17051
478	15649	17021
479	15686	16994
480	15721	16964
481	15764	16942
482	15801	16914
483	15837	16884
484	15872	16853
485	15909	16825
486	15944	16796
487	15979	16765
488	16020	16741
489	16058	16714
490	16100	16690
491	16136	16661
492	16174	16633
493	16210	16604
494	16246	16574
495	16282	16544
496	16315	16512
497	16351	16483
498	16385	16450
499	16419	16419
500	16452	16386
501	16484	16352
502	16514	16317
503	16547	16284
504	16577	16249
505	16608	16214
506	16638	16179
507	16670	16145
508	16700	16110
509	16731	16075
510	16761	16039
511	16795	16008
512	16824	15972
513	16856	15938
514	16886	15902
515	16919	15870
516	16950	15835
517	16980	15800
518	17010	15765
519	17041	15730
520	17072	15695
521	17102	15661
522	17133	15626
523	17164	15592
524	17195	15557
525	17225	15522
526	17258	15489
527	17288	15454
528	17318	15419
529	17350	15385
530	17381	15351
531	17416	15321
532	17449	15288
533	17482	15256
534	17516	15224
535	17550	15192
536	17584	15161
537	17615	15127
538	17648	15094
539	17678	15059
540	17710	15026
541	17742	14992
542	17774	14959
543	17806	14925
544	17836	14890
545	17868	14857
546	17898	14822
547	17931	14790
548	17963	14756
549	17996	14724
550	18026	14689
551	18058	14655
552	18088	14620
553	18121	14588
554	18151	14554
555	18182	14519
556	18212	14484
557	18244	14451
558	18275	14417
559	18306	14383
560	18337	14349
561	18374	14320
562	18414	14293
563	18452	14264
564	18489	14235
565	18532	14210
566	18573	14184
567	18613	14156
568	18655	14131
569	18698	14106
570	18738	14078
571	18778	14051
572	18817	14022
573	18854	13992
574	18889	13962
575	18931	13935
576	18971	13908
577	19013	13881
578	19051	13852
579	19098	13829
580	19136	13800
581	19178	13773
582	19215	13744
583	19253	13715
584	19294	13687
585	19331	13657
586	19368	13627
587	19405	13596
588	19444	13568
589	19479	13536
590	19515	13505
591	19553	13475
592	19591	13446
593	19627	13415
594	19662	13383
595	19698	13352
596	19734	13321
597	19769	13289
598	19802	13257
599	19835	13223
600	19868	13190
601	19898	13155
602	19935	13125
603	19969	13092
604	20003	13059
605	20035	13026
606	20067	12992
607	20098	12958
608	20129	12923
609	20161	12890
610	20192	12856
611	20222	12820
612	20252	12786
